DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7000193;1;1;3;8;7;2;2
7000195;1;1;3;8;6;2;2
7000197;1;1;2;1;4;2;2
7000198;1;1;2;1;6;2;2
7000201;1;1;2;1;6;2;2
7000202;1;1;2;1;4;2;2
7000203;1;1;3;8;7;2;2
7000204;1;1;3;8;6;2;2
7000205;1;1;2;1;6;2;2
7000206;1;1;3;8;6;2;2
7000208;1;1;2;1;4;2;2
7000209;1;1;2;1;4;2;2
7000210;1;1;1;1;6;2;2
7000211;1;1;1;1;4;1;1
7000212;1;1;1;1;4;1;1
7000213;1;1;1;1;6;2;2
7000214;1;1;1;8;4;1;2
7000215;1;1;1;1;4;1;1
7000216;1;1;1;1;6;1;1
7000217;1;1;1;1;6;1;1
7000218;1;1;1;1;6;1;1
7000219;1;1;1;1;4;1;1
7000220;1;1;1;1;4;1;1
7000221;1;1;1;1;4;1;1
7000222;1;1;1;1;4;1;1
7000223;1;1;1;1;6;1;1
7000224;1;1;1;1;4;1;1
7000225;1;1;1;1;4;1;1
7000227;1;1;1;1;4;1;1
7000228;1;1;1;1;6;1;1
7000229;1;1;1;1;4;1;1
7000230;1;1;1;1;7;2;1
7000231;1;1;1;1;6;1;1
7000232;1;1;1;1;4;1;1
7000233;1;1;1;1;6;2;1
7000234;1;1;1;1;4;1;1
7000235;1;1;1;1;4;1;1
7000236;1;1;1;1;6;1;1
7000237;1;1;1;1;4;1;1
7000238;1;1;1;1;4;1;1
7000239;1;1;1;5;5;1;1
7000240;1;1;1;1;4;1;1
7000241;1;1;1;1;4;1;1
7000242;1;1;1;1;6;1;1
7000243;1;1;1;1;6;1;1
7000244;1;1;1;1;4;1;1
7000245;1;1;1;1;4;1;1
7000246;1;1;1;1;4;1;1
7000247;1;1;1;1;4;1;1
7000248;1;1;1;1;4;1;1
7000249;1;1;1;1;4;1;1
7000250;1;1;1;1;4;1;1
7000251;1;1;1;1;4;1;1
7000252;1;1;1;1;6;1;1
7000253;1;1;1;1;4;1;1
7000254;1;1;1;1;6;2;1
7000255;1;1;1;1;4;1;1
7000256;1;1;1;5;2;2;1
7000258;1;1;1;1;6;2;1
7000259;1;1;1;8;6;2;1
7000260;1;1;1;1;6;2;1
7000261;1;1;1;1;4;1;1
7000262;1;1;1;5;5;2;1
7000263;1;1;1;5;5;2;1
7000264;1;1;3;5;6;2;2
7000265;1;1;3;5;6;2;2
7000266;1;1;1;1;4;1;1
7000267;1;1;1;1;4;1;1
7000268;1;1;1;1;4;1;1
7000269;1;1;1;1;4;1;1
7000270;1;1;1;1;6;1;1
7000271;1;1;1;1;6;1;1
7000272;1;1;1;1;4;1;1
7000273;1;1;1;1;5;1;1
7000274;1;1;1;1;4;1;1
7000275;1;1;1;1;4;1;1
7000276;1;1;1;1;6;1;1
7000277;1;1;1;1;4;1;1
7000278;1;1;1;1;4;1;1
7000279;1;1;1;1;4;1;1
7000280;1;1;1;1;4;1;1
7000283;1;1;1;1;4;1;1
7000284;1;1;1;1;4;1;1
7000285;1;1;1;1;4;1;1
7000286;1;1;1;1;4;1;1
7000287;1;1;1;1;4;1;1
7000288;1;1;1;1;4;1;1
