DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7247527;1;1;1;1;4;2;2
7247528;1;1;1;5;5;2;2
7247530;1;1;1;1;4;2;2
7247531;1;1;1;1;4;2;1
7247532;1;1;1;6;4;2;1
7247533;1;1;1;1;6;2;1
7247534;1;1;1;1;4;2;1
7247535;1;1;1;1;4;2;2
7247536;1;1;1;1;4;1;1
7247538;1;1;1;1;4;2;1
7247540;1;1;1;1;4;1;1
7247541;1;1;1;1;4;2;1
7247542;1;1;1;1;4;2;1
7247544;1;1;1;1;4;2;1
7247545;1;1;1;1;4;2;1
7247546;1;1;1;1;4;2;1
7247548;1;1;1;1;4;2;1
7247549;1;1;1;1;4;2;1
7247550;1;1;1;1;4;2;2
7247551;1;1;1;1;4;2;1
7247552;1;1;1;1;4;2;1
7247553;1;1;1;1;4;2;2
7247556;1;1;1;1;6;2;1
7247558;1;1;1;1;4;2;1
7247560;1;1;1;1;4;2;1
7247565;1;1;1;1;4;2;2
7247566;1;1;1;1;4;2;2
7247567;1;1;1;1;6;2;2
7247569;1;1;1;6;4;2;2
7247570;1;1;1;1;4;2;1
7247571;1;1;1;6;4;2;2
7247572;1;1;1;1;4;2;2
7247573;1;1;1;1;4;2;2
7247574;1;1;1;1;4;2;1
7247575;1;1;1;1;6;2;1
7247576;1;1;1;1;4;2;2
7247577;1;1;1;1;4;2;2
7247578;1;1;1;1;4;2;1
7247579;1;1;1;1;4;2;2
7247580;1;1;1;1;4;2;2
7247581;1;1;1;1;4;1;1
7247582;1;1;1;1;4;1;1
7247583;1;1;1;1;4;2;2
7247584;1;1;1;9;6;2;2
7247585;1;1;1;1;4;2;2
7247586;1;1;1;1;4;2;2
7247587;1;1;1;1;4;2;2
7247588;1;1;1;1;4;2;2
7247590;1;1;1;1;4;2;2
7247600;1;1;1;1;4;1;1
7247605;1;1;1;1;6;1;1
7247613;1;1;1;1;4;1;2
7247615;1;1;1;1;6;1;1
7247616;1;1;1;1;6;2;2
7247617;1;1;1;1;6;1;2
7247621;1;1;1;1;4;1;1
7247626;1;1;1;1;6;1;1
7247628;1;1;1;1;4;1;1
7247631;1;1;1;1;6;2;1
7247632;1;1;1;1;6;1;1
7247635;1;1;1;1;4;1;1
7247637;1;1;2;1;6;2;2
7247638;1;1;2;1;6;2;2
7247639;1;1;2;1;6;2;2
7247641;1;1;2;1;6;2;2
7247642;1;1;2;1;6;2;2
7247643;1;1;2;1;6;2;2
7247644;1;1;2;1;6;2;2
7247645;1;1;2;1;6;2;2
7247646;1;1;2;1;6;2;2
7247647;1;1;2;1;4;2;2
7247648;1;1;2;1;6;2;1
7247649;1;1;2;1;4;2;1
7247651;1;1;2;1;6;2;1
7247652;1;1;2;1;4;2;1
7247653;1;1;2;1;4;2;1
7247656;1;1;2;1;6;2;1
7247657;1;1;2;1;6;2;1
7247658;1;1;2;1;6;2;1
7247659;1;1;2;1;6;2;1
7247660;1;1;2;1;6;2;1
7247662;1;1;2;1;4;2;1
7247665;1;1;2;1;6;2;1
7247666;1;1;2;1;6;2;1
7247667;1;1;2;1;6;2;1
7247668;1;1;1;1;6;2;1
7247670;1;1;1;1;4;2;1
7247671;1;1;1;1;6;2;1
7247672;1;1;1;1;4;2;1
7247673;1;1;1;1;6;2;1
7247675;1;1;1;5;7;2;1
7247677;1;1;1;1;4;2;1
7247678;1;1;1;1;6;2;1
7247679;1;1;1;1;6;2;1
7247680;1;1;1;1;4;2;1
7247681;1;1;1;1;4;2;1
7247683;1;1;1;5;4;2;1
7247684;1;1;1;1;6;2;1
7247685;1;1;1;1;4;2;1
7247686;1;1;1;1;6;2;1
7247688;1;1;1;1;6;2;1
7247689;1;1;1;1;4;2;1
7247691;1;1;3;1;4;2;2
7247692;1;1;3;1;6;2;2
7247693;1;1;3;1;6;2;2
7247694;1;1;3;1;6;2;2
7247695;1;1;3;1;6;2;2
7247696;1;1;3;1;6;2;2
7247697;1;1;3;1;6;2;2
7247698;1;1;3;4;7;2;2
7247699;1;1;3;5;7;2;2
7247700;1;1;3;1;6;2;2
7247701;1;1;3;4;7;2;2
7247702;1;1;3;4;7;2;2
7247703;1;1;3;3;7;2;2
7247704;1;1;3;3;7;2;2
7247705;1;1;3;5;7;2;2
7247706;1;1;3;4;7;2;2
7247707;1;1;3;5;6;2;2
7247708;1;1;3;4;7;2;2
7247709;1;1;3;5;7;2;2
7247710;1;1;3;5;7;2;2
7247711;1;1;3;4;7;2;2
7247712;1;1;3;4;7;2;2
7247713;1;1;3;5;7;2;2
7247714;1;1;3;4;7;2;2
7247715;1;1;1;1;6;2;1
7247716;1;1;1;1;6;2;1
7247717;1;1;1;1;6;2;1
7247718;1;1;1;1;6;2;1
7247719;1;1;1;1;1;2;1
7247720;1;1;1;1;6;2;1
7247721;1;1;1;5;7;2;1
7247722;1;1;1;1;7;2;1
7247723;1;1;1;1;6;2;1
7247725;1;1;1;1;6;1;1
7247726;1;1;1;1;6;1;1
7247727;1;1;1;1;6;1;1
7247728;1;1;1;1;6;1;1
7247729;1;1;1;1;6;1;1
7247730;1;1;1;1;6;1;1
7247731;1;1;1;1;4;1;1
7247732;1;1;1;1;6;1;1
7247733;1;1;1;1;4;1;1
7247734;1;1;1;1;6;1;1
7247735;1;1;1;2;7;1;1
7247736;1;1;1;1;6;1;1
7247739;1;1;1;9;6;1;1
7247740;1;1;1;9;7;1;1
7247741;1;1;1;9;7;1;1
7247742;1;1;1;1;6;1;1
7247743;1;1;1;9;7;1;1
7247744;1;1;1;9;7;1;1
7247745;1;1;1;9;7;2;1
7247746;1;1;1;1;4;1;1
7247747;1;1;1;1;4;1;1
7247748;1;1;1;1;4;1;1
7247749;1;1;1;1;6;1;1
7247750;1;1;1;1;6;1;1
7247751;1;1;1;1;4;1;1
7247752;1;1;1;1;6;1;1
7247753;1;1;1;1;4;1;1
7247754;1;1;1;1;7;1;1
7247755;1;1;1;1;6;1;1
7247756;1;1;1;1;4;1;1
7247757;1;1;1;1;6;1;1
7247758;1;1;1;1;4;1;1
7247759;1;1;1;1;4;1;1
7247760;1;1;1;1;4;1;1
7247762;1;1;1;1;6;1;1
7247763;1;1;1;1;4;1;1
7247769;1;1;1;1;4;1;1
7247770;1;1;1;1;6;1;1
7247771;1;1;1;1;6;1;1
7247772;1;1;1;1;4;1;1
7247773;1;1;1;1;4;1;1
7247774;1;1;1;1;4;1;1
7247775;1;1;1;1;4;1;1
7247777;1;1;1;1;4;1;1
7247778;1;1;1;1;4;1;1
7247779;1;1;1;1;4;1;1
7247781;1;1;1;1;6;1;1
7247782;1;1;1;1;6;1;1
7247784;1;1;1;1;6;1;1
7247785;1;1;1;1;6;1;1
7247786;1;1;1;1;6;1;1
7247787;1;1;1;1;4;1;1
7247788;1;1;1;1;4;1;1
7247790;1;1;1;1;6;1;1
7247792;1;1;1;1;6;1;1
7247793;1;1;1;1;4;1;1
7247794;1;1;1;1;6;1;1
7247795;1;1;1;1;6;1;1
7247796;1;1;1;1;4;1;1
7247797;1;1;1;1;6;1;1
7247799;1;1;1;1;4;1;1
7247800;1;1;1;5;7;1;1
7247802;1;1;1;3;6;1;2
7247804;1;1;1;1;6;1;1
7247806;1;1;1;1;4;1;1
7247807;1;1;1;1;6;1;1
7247808;1;1;1;1;6;1;1
7247809;1;1;1;3;6;1;1
7247810;1;1;1;1;4;1;1
7247811;1;1;2;1;4;1;1
7247812;1;1;2;3;6;1;1
7247813;1;1;2;1;6;1;1
7247814;1;1;2;1;4;1;1
7247815;1;1;2;9;6;1;1
7247816;1;1;2;1;6;1;1
7247817;1;1;2;1;6;2;1
7247818;1;1;2;1;6;2;1
7247819;1;1;2;1;4;1;1
7247820;1;1;2;1;6;1;1
7247821;1;1;2;1;6;1;1
7247822;1;1;2;1;4;1;1
7247823;1;1;2;1;6;1;1
7247824;1;1;2;1;6;1;1
7247825;1;1;2;1;4;1;1
7247826;1;1;2;1;4;1;1
7247827;1;1;2;3;7;2;2
7247828;1;1;2;1;4;1;1
7247829;1;1;2;1;6;1;1
7247830;1;1;2;1;4;1;1
7247831;1;1;2;1;6;1;1
7247832;1;1;2;1;4;1;1
7247833;1;1;2;1;4;1;1
7247834;1;1;2;1;6;1;1
7247835;1;1;2;1;4;1;1
7247836;1;1;2;1;4;1;1
7247837;1;1;2;1;6;1;1
7247838;1;1;2;1;4;1;1
7247840;1;1;2;1;4;1;1
7247841;1;1;2;1;6;1;1
7247842;1;1;2;1;6;1;1
7247843;1;1;1;1;6;1;1
7247844;1;1;1;1;4;1;1
7247845;1;1;1;1;6;1;1
7247846;1;1;1;1;4;1;1
7247847;1;1;1;1;4;1;1
7247848;1;1;1;1;6;1;1
7247849;1;1;1;3;6;1;1
7247850;1;1;1;1;6;1;1
7247851;1;1;1;1;6;1;1
7247852;1;1;1;1;4;1;1
7247854;1;1;1;1;6;1;1
7247855;1;1;1;1;6;1;1
7247856;1;1;1;1;6;1;1
7247858;1;1;1;1;6;1;1
7247859;1;1;1;1;6;1;1
7247860;1;1;1;1;6;1;1
7247861;1;1;1;1;4;1;1
7247862;1;1;1;1;7;1;1
7247863;1;1;1;1;6;1;1
7247864;1;1;1;1;4;1;1
7247865;1;1;1;1;6;1;1
7247866;1;1;1;1;6;1;1
7247867;1;1;1;1;6;1;1
7247869;1;1;1;1;4;1;1
7247870;1;1;1;1;4;1;1
7247871;1;1;1;1;4;1;1
7247872;1;1;1;1;4;1;1
7247873;1;1;1;1;4;1;1
7247874;1;1;1;1;6;1;1
7247875;1;1;1;1;4;1;1
7247876;1;1;1;1;4;1;1
7247877;1;1;1;1;4;1;1
7247878;1;1;1;1;4;1;1
7247879;1;1;1;1;6;1;1
7247880;1;1;1;1;4;1;1
7247882;1;1;1;1;4;1;1
7247883;1;1;1;1;4;2;1
7247884;1;1;1;1;7;2;1
7247885;1;1;1;1;4;2;1
7247886;1;1;1;3;7;2;1
7247887;1;1;1;1;6;2;2
7247888;1;1;1;1;4;2;1
7247889;1;1;1;1;4;2;1
7247890;1;1;1;1;6;2;2
7247891;1;1;1;1;4;2;1
7247892;1;1;1;1;6;2;1
7247893;1;1;1;1;6;2;1
7247894;1;1;1;1;6;2;1
7247895;1;1;1;1;6;2;1
7247896;1;1;1;1;6;2;1
7247897;1;1;1;1;6;2;1
7247898;1;1;1;1;6;2;1
7247899;1;1;1;1;6;2;1
7247900;1;1;1;1;7;2;1
7247901;1;1;1;1;4;2;1
7247903;1;1;1;1;6;2;1
7247904;1;1;1;5;7;2;1
7247905;1;1;1;1;6;2;1
7247906;1;1;1;1;6;2;1
7247907;1;1;1;1;6;2;1
7247908;1;1;1;1;6;2;1
7247909;1;1;1;1;6;2;1
7247910;1;1;1;1;6;2;1
7247911;1;1;1;1;6;2;1
7247912;1;1;1;1;6;2;1
7247913;1;1;1;1;6;2;1
7247914;1;1;1;1;6;2;1
7247915;1;1;1;4;7;2;2
7247917;1;1;1;1;6;2;1
7247918;1;1;1;1;6;2;1
7247919;1;1;1;1;4;2;1
7247920;1;1;1;1;4;2;1
7247921;1;1;1;1;6;2;1
7247922;1;1;1;5;7;2;1
7247923;1;1;1;1;6;2;1
7247924;1;1;1;1;6;2;1
7247925;1;1;2;1;6;2;1
7247926;1;1;2;1;6;2;1
7247927;1;1;2;1;6;2;1
7247928;1;1;2;1;6;2;1
7247929;1;1;2;1;6;2;1
7247930;1;1;2;1;6;2;1
7247931;1;1;2;1;6;2;1
7247932;1;1;2;5;7;2;1
7247933;1;1;2;1;6;2;1
7247934;1;1;2;1;6;2;1
7247935;1;1;2;1;7;2;1
7247936;1;1;2;1;6;2;1
7247937;1;1;2;1;7;2;1
7247938;1;1;2;1;6;2;1
7247939;1;1;2;1;6;2;1
7247940;1;1;2;1;6;2;1
7247942;1;1;2;1;6;2;1
7247943;1;1;2;1;6;2;1
7247944;1;1;2;1;1;2;1
7247945;1;1;1;1;6;2;1
7247947;1;1;2;5;7;2;1
7247948;1;1;2;9;7;2;1
7247949;1;1;2;1;6;2;1
7247950;1;1;2;1;6;2;1
7247951;1;1;2;1;6;2;1
7247952;1;1;2;1;6;2;1
7247953;1;1;2;1;6;2;1
7247954;1;1;2;4;6;2;1
7247955;1;1;2;3;7;2;1
7247956;1;1;2;1;6;2;1
7247957;1;1;1;1;6;2;1
7247958;1;1;1;3;6;1;1
7247959;1;1;1;1;6;1;1
7247960;1;1;1;1;4;1;1
7247961;1;1;1;1;4;1;1
7247962;1;1;1;1;6;1;1
7247963;1;1;1;1;4;1;1
7247965;1;1;1;1;6;1;1
7247966;1;1;1;1;6;2;1
7247967;1;1;2;1;6;2;1
7247968;1;1;1;1;6;2;1
7247969;1;1;1;1;6;2;1
7247970;1;1;1;1;6;2;1
7247971;1;1;1;1;6;2;1
7247973;1;1;1;1;4;2;1
7247974;1;1;1;1;6;2;1
7247975;1;1;1;1;4;2;1
7247976;1;1;1;1;4;2;1
7247977;1;1;1;1;4;2;1
7247978;1;1;1;4;7;2;1
7247979;1;1;1;1;6;2;1
7247980;1;1;1;1;7;2;1
7247981;1;1;1;1;4;2;1
7247982;1;1;1;1;4;2;1
7247983;1;1;1;1;4;2;1
7247984;1;1;1;1;4;2;1
7247985;1;1;1;1;7;2;1
7247986;1;1;1;1;4;2;1
7247987;1;1;1;1;6;2;1
7247989;1;1;1;1;4;2;1
7247990;1;1;1;1;4;1;1
7247991;1;1;1;1;6;1;1
7247992;1;1;1;1;6;1;1
7247993;1;1;1;1;4;1;1
7247994;1;1;1;1;4;1;1
7247995;1;1;1;1;4;1;1
7247996;1;1;1;1;4;1;1
7247997;1;1;1;1;4;1;1
7247998;1;1;1;1;6;1;1
7248000;1;1;1;1;6;1;1
7248001;1;1;1;1;4;1;1
7248002;1;1;1;1;4;1;1
7248003;1;1;1;1;4;1;1
7248004;1;1;1;1;4;1;1
7248005;1;1;1;1;6;1;1
7248006;1;1;1;1;6;1;1
7248007;1;1;1;1;6;1;1
7248008;1;1;1;1;6;1;1
7248009;1;1;1;1;6;1;1
7248010;1;1;1;1;6;1;1
7248011;1;1;1;1;6;1;1
7248012;1;1;1;1;6;1;1
7248013;1;1;1;1;4;1;1
7248014;1;1;1;1;6;1;1
7248017;1;1;1;1;4;1;1
7248018;1;1;1;1;6;1;1
7248019;1;1;1;1;6;1;1
7248020;1;1;1;1;4;1;1
7248021;1;1;2;1;6;2;2
7248022;1;1;2;1;4;2;1
7248023;1;1;2;1;6;2;2
7248024;1;1;2;1;6;2;2
7248025;1;1;2;1;6;2;1
7248026;1;1;2;1;4;2;2
7248027;1;1;2;1;4;2;2
7248030;1;1;2;1;6;2;2
7248032;1;1;2;1;6;2;1
7248033;1;1;2;1;4;2;1
7248034;1;1;2;1;4;2;1
7248035;1;1;2;1;6;2;1
7248036;1;1;2;1;6;2;1
7248037;1;1;2;1;6;2;1
7248038;1;1;2;1;6;2;1
7248039;1;1;2;1;6;2;1
7248040;1;1;2;1;6;2;1
