DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7567122,1,1,1,1,4,1,1
7567123,1,1,1,1,4,1,1
7567126,1,1,1,1,6,1,1
7567130,1,1,1,1,4,1,1
7567132,1,1,1,1,4,1,1
7567133,1,1,1,1,6,1,1
7567134,1,1,1,1,6,1,1
7567135,1,1,1,1,6,1,1
7567136,1,1,1,1,4,1,1
7567138,1,1,1,1,4,1,1
7567139,1,1,1,1,6,1,1
7567142,1,1,1,1,6,1,1
7567147,1,1,1,1,6,1,1
7567158,1,1,2,5,6,2,1
7567160,1,1,1,1,4,2,1
7567162,1,1,1,1,4,2,1
7567164,1,1,1,1,7,2,1
7567165,1,1,1,1,4,2,1
7567166,1,1,1,1,1,2,1
7567167,1,1,1,1,1,2,1
7567168,1,1,1,1,4,2,1
7567183,1,1,3,1,6,2,2
7567184,1,1,3,1,6,2,2
7567185,1,1,3,5,7,2,2
7567186,1,1,3,1,6,2,2
7567187,1,1,3,1,6,2,2
7567188,1,1,3,1,6,2,2
7567189,1,1,3,1,6,2,2
7567190,1,1,3,1,6,2,2
7567191,1,1,3,1,7,2,2
7567192,1,1,3,1,6,2,2
7567193,1,1,1,1,6,2,1
7567194,1,1,1,1,6,2,1
7567195,1,1,1,1,6,2,1
7567196,1,1,1,1,4,2,1
7567197,1,1,1,1,4,2,1
7567200,1,1,1,1,6,2,1
7567201,1,1,1,1,4,2,1
7567202,1,1,1,1,4,2,1
7567203,1,1,1,1,6,2,1
7567206,1,1,1,1,4,2,1
7567207,1,1,1,1,6,2,1
7567208,1,1,1,1,4,2,1
7567209,1,1,1,1,6,2,1
7567210,1,1,1,1,4,2,1
7567211,1,1,1,1,6,2,1
7567212,1,1,1,1,7,2,1
7567213,1,1,3,5,7,2,2
7567214,1,1,3,5,5,2,2
7567216,1,1,3,5,7,2,2
7567218,1,1,3,4,7,2,2
7567220,1,1,3,5,6,2,2
7567223,1,1,1,1,4,1,1
7567224,1,1,1,1,4,1,1
7567225,1,1,1,1,6,1,1
7567226,1,1,1,1,4,1,1
7567227,1,1,1,1,4,1,1
7567229,1,1,1,1,4,1,1
7567230,1,1,1,1,4,1,1
7567231,1,1,1,1,4,1,1
7567232,1,1,1,1,4,1,1
7567234,1,1,1,1,4,1,1
7567235,1,1,1,1,4,1,1
7567236,1,1,1,1,4,1,1
7567238,1,1,1,1,4,1,1
7567239,1,1,1,1,4,1,1
7567240,1,1,1,1,4,1,1
7567242,1,1,1,1,4,1,1
7567243,1,1,1,1,6,1,1
7567246,1,1,1,1,4,1,1
7567248,1,1,1,1,4,1,1
7567249,1,1,1,1,4,1,1
7567250,1,1,1,1,4,1,1
7567251,1,1,1,1,4,1,1
7567253,1,1,1,1,4,1,1
7567254,1,1,1,1,4,1,1
7567255,1,1,1,1,6,1,1
7567256,1,1,1,1,4,1,1
7567257,1,1,1,1,4,1,1
7567258,1,1,1,1,4,1,1
7567259,1,1,1,1,4,1,1
7567260,1,1,1,1,4,1,1
7567261,1,1,1,1,4,1,1
7567263,1,1,1,1,4,1,1
7567264,1,1,1,1,6,1,1
7567265,1,1,1,1,6,1,1
7567266,1,1,1,1,4,1,1
7567267,1,1,1,1,6,1,1
7567268,1,1,1,1,6,1,1
7567269,1,1,1,1,4,1,1
7567270,1,1,1,1,7,1,1
7567271,1,1,1,1,4,1,1
7567272,1,1,1,1,4,1,1
7567274,1,1,1,1,4,1,1
7567275,1,1,1,1,4,1,1
